Date,Original,EW,GMV,MSR
2011-07-18,1014.7706856198906,1038.925568100965,1043.313492414645,1047.677778550789
2011-07-19,1033.7341500971106,1054.455467085703,1049.5690388342468,1070.5124358403846
2011-07-20,1032.1380859736573,1057.0956090419704,1053.6479258134073,1066.0503655439682
2011-07-21,1043.1182208094979,1065.8917557015332,1065.0290522751548,1070.4675234815354
2011-07-22,1047.8508812906575,1068.4496961853504,1067.0736974962665,1081.3146468212306
2011-07-25,1049.5402148383985,1067.5301124259086,1064.8440794513415,1089.6558366313127
2011-07-26,1052.914169920828,1066.8730835669603,1065.0897822206095,1094.9787636209574
2011-07-27,1034.3883194656362,1049.0619696805202,1051.946769874834,1074.597319134755
2011-07-28,1034.9753278636056,1048.1871428656477,1058.1410374560514,1077.0905676954244
2011-07-29,1026.2007371985815,1039.3143910354781,1048.7734643713343,1069.6941159604414
2011-08-01,1024.3131452403318,1032.2218648330715,1041.6500175433032,1061.6671424101926
2011-08-02,1001.7494412101548,1008.5988050406289,1024.7589778065467,1041.3108860379602
2011-08-03,1000.4610083559206,1001.0822615482689,1016.9962102256986,1045.617186873867
2011-08-04,961.7596431193501,963.4181702163273,990.2562690783101,1015.2984061898909
2011-08-05,945.9045785928929,945.3571261793859,974.6221735371918,1001.7642860041169
2011-08-08,895.4985378330232,896.5968487449672,933.2505546522452,952.5810648643377
2011-08-09,929.7766458397092,931.4874396341295,966.3561337032993,987.3667124033112
2011-08-10,903.5680415975157,904.6715604448653,933.2240303182716,959.7320273772519
2011-08-11,937.8142649899814,938.1853610788726,968.1456369917296,987.7934357654345
2011-08-12,948.8089350685013,952.2056927397144,984.9400537427168,995.8006403958065
2011-08-15,960.4433197859781,961.305964044106,993.8752655664364,1008.0328851428333
2011-08-16,950.362877448308,950.3751939768784,991.9998632936265,1005.4510686310751
2011-08-17,947.2839214390534,947.1461100070802,993.2565844090944,1001.4856399399572
2011-08-18,905.1030586686154,902.3834302627764,959.0845231272228,977.6668800404898
2011-08-19,894.0425301465709,891.3035407665299,949.9204878600318,956.399084514396
2011-08-22,894.7179686148613,894.5123081287275,960.2686129519603,954.3089690481128
2011-08-23,916.8913313622053,916.0038199179291,977.4883451832186,978.1608569676907
2011-08-24,920.9240249502577,921.3399942775618,978.0384100159556,987.5560799640883
2011-08-25,906.6644855091594,908.092446935022,957.7984491236781,980.1762550954336
2011-08-26,919.4182294910032,918.9759528942874,963.9033159806379,994.2929323226076
2011-08-30,944.239080497767,945.0501813138081,984.8579469720586,1024.822352679744
2011-08-31,950.9894933625104,956.8433575465732,998.027811832925,1030.7083919799807
2011-09-01,941.5322634004651,948.0405930343065,995.5245260166913,1014.7006893830705
2011-09-02,924.0344312908547,926.5895756119666,974.5576478228412,997.5714246616062
2011-09-07,951.4708912614021,957.9534805977868,1002.0149918339803,1017.171442347516
2011-09-08,949.1570474035153,951.4145635516148,996.4354301617846,1021.9468567069537
2011-09-09,933.9802892426223,931.645163734055,973.858781120831,1006.2157538178791
2011-09-12,937.2046442694229,929.0221072301767,967.6836459643239,1007.3184975322305
2011-09-13,945.7294565487598,936.4168143660905,972.145617072922,1018.8342694007815
2011-09-14,953.8608115647149,947.8668361533948,975.6518707654446,1028.4587049226736
2011-09-15,971.8422308447488,967.7202979800942,991.3047425610645,1043.4039842026893
2011-09-16,976.9931344180941,974.4258512677952,993.313690290197,1054.2365095920993
2011-09-19,972.0542969059275,962.314287406656,983.3339240267924,1057.6024859107285
2011-09-20,973.1000603492399,969.3235420779772,996.1595864325282,1054.9329834564423
2011-09-21,956.5918375097042,952.2216393952671,980.5057623897575,1035.4354144787078
2011-09-22,926.2043250776652,918.699635118025,955.2873691141031,1004.7115451062496
2011-09-23,936.9107748568406,928.9666108258441,959.7116633539375,1006.1740746773073
2011-09-26,952.275671704312,942.5389487113271,983.2608842546736,1016.5223606917641
2011-09-27,967.4212020199793,965.2243302416126,1001.6982503925647,1028.7450164935328
2011-09-28,949.0604401970402,945.7411816109959,987.7960773979597,1019.6744301953224
