path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
94,5820.209616072676,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
95,11129.729308451213,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
96,7979.949766120082,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
97,12768.431763920997,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
98,5671.557074508975,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
99,8680.865130749597,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
100,8777.53864064208,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
101,6279.631997024679,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
102,12341.387245912469,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
103,6212.029967555692,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
104,8357.06508772358,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
105,7039.255996401475,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
106,4405.8344463224275,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
107,9843.550104639844,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
108,7189.950560022146,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
109,10642.75885042417,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
110,6044.191066354059,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
111,9126.387238486435,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
112,6249.45366938948,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
113,4833.622024407385,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
114,13723.367975929488,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
115,13921.850663365934,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
116,7690.459993779055,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
117,4841.422728229253,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
118,11222.121579811701,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
119,14991.79347159785,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
